Ticker,Price Change (%),RS Score,Color
SCN,-10.169491525423723,22,Red
SCP,-4.230769230769226,38,Red
SDC,-13.636363636363635,15,Red
SE,-3.759398496240618,39,Red
SE-ED,-4.273504273504258,38,Red
SEAFCO,8.139534883720923,82,Green
SEAOIL,0.9803921568627416,59,Red
SECUREm,-15.294117647058824,14,Red
SELIC,-6.5359477124183,31,Red
SENA,-1.5000000000000013,47,Red
SENXm,-0.8403361344537785,50,Red
SFLEX,-8.588957055214719,25,Red
SFTm,-4.950495049504955,35,Red
SGFm,-7.317073170731703,29,Red
SGP,-3.398058252427194,40,Red
SHANG,2.777777777777768,67,Yellow
SHR,18.60465116279071,92,Green
SIAM,22.222222222222232,94,Green
SICTm,3.2258064516129004,69,Yellow
SIMATm,-19.047619047619047,9,Red
SINGER,-30.722891566265066,4,Red
SIRI,37.5,96,Green
SIRI_f,9.546147626502787,84,Green
SIS,2.970297029702973,68,Yellow
SISB,5.494505494505497,76,Yellow
SITHAI,5.298013245033117,75,Yellow
SJWD,0.0,54,Red
SKE,-9.090909090909093,24,Red
SKN,-6.538461538461537,31,Red
SKR,-2.127659574468077,45,Red
SKY,23.30097087378642,95,Green
SKm,4.444444444444429,73,Yellow
SLP,-16.43835616438356,11,Red
SMARTm,1.4285714285714235,61,Yellow
SMD100m,-1.724137931034464,46,Red
SMIT,2.4793388429751984,65,Yellow
SMPC,-13.33333333333333,16,Red
SMT,13.228699551569512,89,Green
SNC,-15.662650602409645,13,Red
SNJ,4.958677685950419,74,Yellow
SNNP,6.914893617021289,79,Yellow
SNP,19.6078431372549,93,Green
SO,-0.520833333333337,52,Red
SOLAR,-15.887850467289722,12,Red
SONICm,-17.365269461077848,11,Red
SORKON,9.433962264150942,83,Green
SPA,12.380952380952381,88,Green
SPACK,-14.732142857142872,14,Red
SPALI,24.615384615384617,95,Green
SPALI_f,19.89528795811517,93,Green
SPC,2.7450980392156765,67,Yellow
SPCG,4.316546762589923,73,Yellow
SPG,1.81818181818183,63,Yellow
SPI,1.4285714285714235,61,Yellow
SPRC,-4.46428571428571,37,Red
SPRIMEu,3.731343283582089,70,Yellow
SPVIm,-10.483870967741938,22,Red
SQ,3.3519553072625774,69,Yellow
SRICHA,-7.653061224489798,28,Red
SRIPANWAu,5.47945205479452,76,Yellow
SRm,3.472222222222232,69,Yellow
SSF,5.454545454545445,76,Yellow
SSP,-2.912621359223311,42,Red
SSPFu,-3.378378378378377,41,Red
SSSC,7.7464788732394485,81,Green
SST,5.46875,76,Yellow
SSTRTu,-0.8695652173912993,50,Red
STA,14.054054054054067,90,Green
STANLY,9.43952802359882,83,Green
STCm,0.0,54,Red
STECH,-7.272727272727275,29,Red
STELLA,6.306306306306286,78,Yellow
STGT,-12.28070175438597,18,Red
STHAI,-98.9247311827957,0,Red
STI,-11.428571428571422,19,Red
STOWERm,0.0,54,Red
STPI,-11.489361702127665,19,Red
STPm,-9.090909090909093,24,Red
SUC,2.6315789473684292,66,Yellow
SUN,-7.3275862068965525,29,Red
SUPER,-12.0,19,Red
SUSCO,-18.62348178137654,10,Red
SUTHA,-9.545454545454534,23,Red
SVI,23.717948717948723,95,Green
SVOA,-12.676056338028163,17,Red
SVT,-12.432432432432428,17,Red
SWCm,-7.194244604316546,30,Red
SYMC,-4.651162790697672,36,Red
SYNEX,3.1446540880503138,69,Yellow
SYNTEC,10.559006211180112,85,Green
TACCm,-6.569343065693422,31,Red
TAE,-8.62068965517241,25,Red
TAKUNIm,-13.661202185792353,15,Red
TAPACm,-10.625000000000007,21,Red
TASCO,-3.4285714285714364,40,Red
TASCO_f,-48.97435897435898,1,Red
TC,-9.022556390977455,24,Red
TCAP,10.389610389610393,85,Green
TCAP_f,90.3225806451613,98,Green
TCC,-12.380952380952381,18,Red
TCJ,-4.109589041095885,38,Red
TCMC,-2.2727272727272707,45,Red
TCOAT,-5.309734513274334,34,Red
TEAM,93.06930693069306,98,Green
TEAMG,-23.529411764705877,6,Red
TEGH,2.5974025974025983,66,Yellow
TEKA,-15.606936416184968,13,Red
TENCENT80x,20.967741935483875,94,Green
TFFIFu,4.794520547945202,74,Yellow
TFFIFv,4.761904761904767,74,Yellow
TFG,-8.035714285714269,27,Red
TFI,-17.647058823529406,11,Red
TFM,14.45086705202312,90,Green
TFMAMA,1.0000000000000009,60,Yellow
TGE,-6.349206349206349,31,Red
TGH,-1.9417475728155442,45,Red
TGPRO,-10.71428571428572,21,Red
TH,-34.34343434343434,3,Red
THAI,-1.1904761904761862,48,Red
THAI_f,-74.45945945945947,1,Red
THANAm,-15.822784810126578,13,Red
THANI,0.0,54,Red
THCOM,19.999999999999996,93,Green
THE,-12.209302325581394,18,Red
THG,0.0,54,Red
THIP,-10.1123595505618,22,Red
THMUIm,-7.766990291262143,27,Red
THRE,-8.333333333333337,26,Red
THREL,-11.250000011571181,20,Red
TIDLOR,16.831683165572,92,Green
TIF1u,1.1235955056179803,60,Yellow
TIGERm,-18.807339449541296,10,Red
TIPCO,2.2727272727272707,65,Yellow
TIPH,-17.488789237668158,11,Red
TISCO,5.585106382978733,77,Yellow
TISCO_f,14.411764705882346,90,Green
TITLEm,2.5316455696202667,66,Yellow
TK,-6.145251396648033,32,Red
TKC,-7.462686567164178,28,Red
TKN,65.71428571428571,98,Green
TKS,12.72727272727272,88,Green
TKT,-0.7092198581560294,51,Red
TLHPFu,0.6535947712418277,57,Red
TLI,0.6756756756756799,57,Red
TMCm,26.0,96,Green
TMD,6.557377049180335,78,Yellow
TMILLm,0.0,54,Red
TMIm,-20.744680851063833,8,Red
TMT,-1.8867924528301883,45,Red
TMWm,15.909090909090917,91,Green
TMm,-0.7407407407407418,51,Red
TNDTm,-35.0,3,Red
TNHm,0.0,54,Red
TNITY,-16.666666666666675,11,Red
TNL,-0.7518796992481369,50,Red
TNPC,-10.526315789473673,21,Red
TNPFu,-2.6881720430107503,43,Red
TNPm,3.0927835051546504,68,Yellow
TNR,36.26373626373627,96,Green
TOA,3.053435114503822,68,Yellow
TOG,5.494505494505497,76,Yellow
TOP,8.695652173913038,82,Green
TOPP,-0.9345794392523366,49,Red
TOP_f,-21.590909090909093,8,Red
TPA,2.5210084033613356,66,Yellow
TPAC,-0.7633587786259555,50,Red
TPBI,19.32367149758456,93,Green
TPCHm,2.758620689655178,67,Yellow
TPCS,-7.373271889400912,28,Red
TPIPL,8.982035928143727,83,Green
TPIPP,1.7964071856287456,63,Yellow
TPLASm,-8.387096774193559,26,Red
TPOLY,-9.395973154362414,23,Red
TPP,3.0303030303030276,68,Yellow
TPRIMEu,6.616020816170076,78,Yellow
TPSm,-2.395209580838331,44,Red
TQM,9.090909090909083,83,Green
TQRm,1.7391304347825987,63,Yellow
TR,0.0,54,Red
TRC,3.5714285714285587,70,Yellow
TRITN,-5.263157894736848,34,Red
TRTm,-5.369127516778526,34,Red
TRU,-3.731343283582089,39,Red
TRUBB,-16.07142857142858,12,Red
TRVm,-3.0000000000000027,41,Red
TSC,4.4117647058823595,73,Yellow
TSE,12.5,88,Green
TSI,-21.212121212121215,8,Red
TSR,2.1164021164021163,65,Yellow
TSTE,0.6993006993006867,57,Red
TSTH,6.730769230769229,79,Yellow
TTA,-1.7964071856287456,46,Red
TTA_f,-83.57537675148926,0,Red
TTB,14.634146341463406,90,Green
TTB_f,25.663716814159287,96,Green
TTCL,-1.310043668122285,48,Red
TTI,-8.3969465648855,26,Red
TTLPFu,0.0,54,Red
TTT,2.0000000000000018,64,Yellow
TTW,7.784431137724557,81,Green
TU,-8.64864864864866,25,Red
TU-PFu,10.22727272727273,85,Green
TURTLEm,5.000000000000004,75,Yellow
TU_f,-18.048780487804873,10,Red
